,Players,Ratings,Season
490,Paulo Gazzaniga,64,2013
491,Samed Yesil,64,2013
492,Paul Dummett,64,2013
493,Samir Carruthers,64,2013
494,Jay Fulton,63,2013
495,Declan John,63,2013
496,Jack Grealish,63,2013
497,Souleymane Coulibaly,63,2013
498,Abdul Razak,63,2013
499,Gael Bigirimana,63,2013
500,Elsad Zverotic,63,2013
501,Carlo Nash,63,2013
502,Aaron Wilbraham,63,2013
503,Patrick Roberts,62,2013
504,Adam Armstrong,62,2013
505,Gedion Zelalem,62,2013
506,Sam Gallagher,62,2013
507,Moussa Dembele,62,2013
508,Cauley Woodrow,62,2013
509,Stephen Sama,62,2013
510,Daniel Johnson,62,2013
511,Kyle De Silva,62,2013
512,Luke Garbutt,62,2013
513,Jed Steer,62,2013
514,Sam Hutchinson,62,2013
515,Richard Wright,62,2013
516,Jindrich Stanek,61,2013
517,Gregor Zabret,61,2013
518,Kenji Gorre,61,2013
519,Thomas Agyiri,61,2013
520,Donervon Daniels,61,2013
521,Josh Murphy,61,2013
522,Harrison Reed,61,2013
523,Ryan Williams,61,2013
524,Jak Alnwick,61,2013
525,Cameron Lancaster,61,2013
526,Conor McAleny,61,2013
527,Darnel Situ,61,2013
528,Neil Etheridge,61,2013
529,Jordan Bowery,61,2013
530,Simon Lappin,61,2013
531,Guillermo Varela,60,2013
532,Danny Whitehead,60,2013
533,Osman Sow,60,2013
534,James Alabi,60,2013
535,Bradley Garmston,60,2013
536,Kevin Gomez-Nieto,60,2013
537,Jordan Richardson,60,2013
538,Janoi Donacien,60,2013
539,Daniel Bachmann,60,2013
540,Callum Robinson,60,2013
541,Kemar Roofe,60,2013
542,Mikael Mandron,60,2013
543,Adil Nabi,60,2013
544,Daniel Potts,60,2013
545,Ibra Sekajja,60,2013
546,Luke Daniels,60,2013
547,Jonathan Forte,60,2013
548,Maximiliano Amondarain,59,2013
549,Courtney Duffus,59,2013
550,Ryan Seager,59,2013
551,El Hadji Ba,59,2013
552,Lewis Baker,59,2013
553,Karim Rossi,59,2013
554,Reise Allassani,59,2013
555,Thomas Eisfeld,59,2013
556,James Armstrong,59,2013
557,Liam O'Neil,59,2013
558,Thomas James,58,2013
559,Lynden Gooch,58,2013
560,Liam Agnew,58,2013
561,Marcus Barnes,58,2013
562,Jordi Hiwula,58,2013
563,Seko Fofana,58,2013
564,Roman Michael-Percil,58,2013
565,Callam Jones,58,2013
566,Andreas Christensen,58,2013
567,James Wilson,58,2013
568,Chuba Akpom,58,2013
569,Rhys Healey,58,2013
570,Dominic Gape,58,2013
571,Yalany Baio,58,2013
572,Teixeira,58,2013
573,Giancarlo Gallifuoco,58,2013
574,Matthew Fletcher,58,2013
575,Daniel Pappoe,58,2013
576,Jamal Blackman,58,2013
577,Ryan Inniss,58,2013
578,Cody Cropper,58,2013
579,Hector Bellerin,58,2013
580,Sebastian Lletget,58,2013
581,Raphael Spiegel,58,2013
582,David Cornell,58,2013
583,Freddie Woodman,57,2013
584,Rolando Aarons,57,2013
585,Charlie Ward,57,2013
586,Elliot Kebbie,57,2013
587,Milos Veljkovic,57,2013
588,Saidy Janko,57,2013
589,Jake Flannigan,57,2013
590,Josh Sims,57,2013
591,Matt Targett,57,2013
592,Will Aimson,57,2013
593,Mani O'Sullivan,57,2013
594,Chris Long,57,2013
595,Conor Grant,57,2013
596,Sinan Bytyqi,57,2013
597,Leo Chambers,57,2013
598,Elliot Lee,57,2013
599,Danny Ward,57,2013
600,Jake Sinclair,57,2013
601,Jordan Archer,57,2013
602,Cameron Gayle,57,2013
603,Zak Ansah,57,2013
604,Michael Richardson,57,2013
605,Islam Feruz,57,2013
606,Kadeem Harris,57,2013
607,Mark Oxley,57,2013
608,Jack Rose,56,2013
609,Cameron Brannagan,56,2013
610,Joshua Debayo,56,2013
611,Harry Wilson,56,2013
612,Olivier Kemen,56,2013
613,Calaum Jahraldo-Martin,56,2013
614,Martin Smith,56,2013
615,Angus Gunn,56,2013
616,Lloyd Jones,56,2013
617,Ruben Loftus-Cheek,56,2013
618,Jonathan Miles,56,2013
619,Ian Lawlor,56,2013
620,Marc Pelosi,56,2013
621,Remie Streete,56,2013
622,Villyan Bijev,56,2013
623,Adam Drury,56,2013
624,Jamar Loza,56,2013
625,Jon Toral,56,2013
626,Omar Rowe,56,2013
627,Yusuf Mersin,56,2013
628,Jesse Joronen,56,2013
629,Sam Topliss,55,2013
630,George Green,55,2013
631,Tom Lawrence,55,2013
632,Andreas Pereira,55,2013
633,Peter Skapetis,55,2013
634,Ben McLaughlin,55,2013
635,Quade Taylor,55,2013
636,Callum Driver,55,2013
637,Jordan Brown,54,2013
638,Paul McElroy,54,2013
639,George Honeyman,54,2013
640,David Ferguson,54,2013
641,Sullay Kaikai,54,2013
642,Luke Coulson,54,2013
643,John Swift,54,2013
644,Alex Davey,54,2013
645,Dougie Wilson,54,2013
646,Tika Musonda,54,2013
647,Ben Glasgow,54,2013
648,James Campbell,54,2013
649,Tyias Browning,54,2013
650,Carlton Morris,53,2013
651,Adel Gafaiti,53,2013
652,Reece James,53,2013
653,Kyle Callan-McFadden,53,2013
654,Ewan McNeil,53,2013
655,Charni Ekangamene,53,2013
656,Harry Toffolo,52,2013
657,Adam King,51,2013
658,Lubomir Satka,47,2013
659,Eden Hazard,88,2014
660,David Silva,87,2014
661,Sergio Aguero,87,2014
662,De Gea,86,2014
663,Thibaut Courtois,86,2014
664,Mesut Ozil,86,2014
665,Falcao,86,2014
666,Vincent Kompany,86,2014
667,Wayne Rooney,86,2014
668,Alexis Sanchez,85,2014
669,Angel Di Maria,85,2014
670,Diego Costa,85,2014
671,Juan Mata,85,2014
672,Hugo Lloris,85,2014
673,Cesc Fabregas,85,2014
674,Santi Cazorla,85,2014
675,Petr Cech,85,2014
676,Yaya Toure,85,2014
677,Robin van Persie,85,2014
678,Oscar,84,2014
679,Samir Nasri,84,2014
680,Nemanja Matic,83,2014
681,Edin Dzeko,83,2014
682,Daniel Sturridge,83,2014
683,Joe Hart,83,2014
684,Pablo Zabaleta,83,2014
685,Victor Valdes,83,2014
686,John Terry,83,2014
687,Juan Cuadrado,82,2014
688,Christian Eriksen,82,2014
689,Coutinho,82,2014
690,Aaron Ramsey,82,2014
691,Willian,82,2014
692,Jan Vertonghen,82,2014
693,Asmir Begovic,82,2014
694,Laurent Koscielny,82,2014
695,Per Mertesacker,82,2014
696,Wilfried Bony,81,2014
697,Jack Wilshere,81,2014
698,Ramires,81,2014
699,Azpilicueta,81,2014
700,Christian Benteke,81,2014
701,Stevan Jovetic,81,2014
702,Branislav Ivanovic,81,2014
703,Morgan Schneiderlin,81,2014
704,Gary Cahill,81,2014
705,Filipe Luis,81,2014
706,Leighton Baines,81,2014
707,Jesus Navas,81,2014
708,Fernandinho,81,2014
709,Raheem Sterling,80,2014
710,Dusan Tadic,80,2014
711,Romelu Lukaku,80,2014
712,James McCarthy,80,2014
713,Mario Balotelli,80,2014
714,Mamadou Sakho,80,2014
715,Adam Lallana,80,2014
716,Seamus Coleman,80,2014
717,Loic Remy,80,2014
718,Olivier Giroud,80,2014
719,Bojan,80,2014
720,Simon Mignolet,80,2014
721,Kevin Mirallas,80,2014
722,Antonio Valencia,80,2014
723,Martin Skrtel,80,2014
724,Theo Walcott,80,2014
725,Mathieu Debuchy,80,2014
726,Alexandre Song,80,2014
727,Phil Jagielka,80,2014
728,Jermain Defoe,80,2014
729,Tomas Rosicky,80,2014
730,Alberto Moreno,79,2014
731,Marcos Rojo,79,2014
732,Dejan Lovren,79,2014
733,Remy Cabella,79,2014
734,Ander Herrera,79,2014
735,Daley Blind,79,2014
736,Eliaquim Mangala,79,2014
737,Jordan Henderson,79,2014
738,Dame N'Doye,79,2014
739,Lucas Leiva,79,2014
740,Ron Vlaar,79,2014
741,Bacary Sagna,79,2014
742,Moussa Dembele,79,2014
743,Soldado,79,2014
744,James Milner,79,2014
745,Michel Vorm,79,2014
746,Martin Demichelis,79,2014
747,Mikel Arteta,79,2014
748,Michael Carrick,79,2014
749,Tim Howard,79,2014
750,Gareth Barry,79,2014
751,Lazar Markovic,78,2014
752,Harry Kane,78,2014
753,Ross Barkley,78,2014
754,Alex Oxlade-Chamberlain,78,2014
755,Phil Jones,78,2014
756,Chris Smalling,78,2014
757,Steven N'Zonzi,78,2014
758,Wojciech Szczesny,78,2014
759,Danny Welbeck,78,2014
760,Aleksandar Kolarov,78,2014
761,Gylfi Sigurdsson,78,2014
762,Fernando,78,2014
763,Toby Alderweireld,78,2014
764,Federico Fazio,78,2014
765,Adel Taarabt,78,2014
766,Etienne Capoue,78,2014
767,Jose Fonte,78,2014
768,Cheick Tiote,78,2014
769,Tim Krul,78,2014
770,Erik Lamela,78,2014
771,Ryan Shawcross,78,2014
772,Jonny Evans,78,2014
773,Brad Guzan,78,2014
774,John Obi Mikel,78,2014
775,Ashley Williams,78,2014
776,Ben Foster,78,2014
777,Aiden McGeady,78,2014
778,Ashley Young,78,2014
779,Aaron Lennon,78,2014
780,Gael Clichy,78,2014
781,Willy Caballero,78,2014
782,Joleon Lescott,78,2014
783,Esteban Cambiasso,78,2014
784,Emmanuel Adebayor,78,2014
785,Steven Pienaar,78,2014
786,Fabricio Coloccini,78,2014
787,Ricardo Alvarez,77,2014
788,Gaston Ramirez,77,2014
789,Gabriel,77,2014
790,Nacer Chadli,77,2014
791,Charlie Austin,77,2014
792,Adrian,77,2014
793,Emanuele Giaccherini,77,2014
794,Kyle Walker,77,2014
795,Mame Diouf,77,2014
796,Siem de Jong,77,2014
797,Kieran Gibbs,77,2014
798,Marko Arnautovic,77,2014
799,Claudio Yacob,77,2014
800,Moussa Sissoko,77,2014
801,Andy Carroll,77,2014
802,Papiss Demba Cisse,77,2014
803,Nacho Monreal,77,2014
804,Marouane Fellaini,77,2014
805,David Ospina,77,2014
806,Adam Johnson,77,2014
807,Łukasz Fabiański,77,2014
808,Graziano Pelle,77,2014
809,Stephane Sessegnon,77,2014
810,Younes Kaboul,77,2014
811,Bafetimbi Gomis,77,2014
812,Kolo Toure,77,2014
813,Eduardo Vargas,76,2014
814,Vlad Chiricheş,76,2014
815,Christian Atsu,76,2014
816,Benjamin Stambouli,76,2014
817,Sandro,76,2014
818,Nathaniel Clyne,76,2014
819,Rafael,76,2014
820,Victor Wanyama,76,2014
821,Daryl Janmaat,76,2014
822,Jefferson Montero,76,2014
823,Leroy Fer,76,2014
824,Joe Allen,76,2014
825,Jack Rodwell,76,2014
826,Fabian Delph,76,2014
827,Carlos Sanchez,76,2014
828,Youssouf Mulumbu,76,2014
829,Jack Cork,76,2014
830,Darron Gibson,76,2014
831,Shane Long,76,2014
832,Steven Fletcher,76,2014
833,Steven Naismith,76,2014
834,Leon Osman,76,2014
