,Season,Player,Age,Sellingteam,Buyingteam,Marketvalue,Fee
69,2013,David Pollet,25,RSC Charleroi,RSC Anderlecht,0.9,2.03
70,2013,Hyun-soo Jang,22,FC Tokyo,GZ R&F,0.45,2.03
71,2013,Zhizhao Chen,25,SH Shenxin,BJ Sinobo Guoan,0.225,2.03
72,2013,Jason Puncheon,27,Southampton,CrystalPalace Palace,2.7,1.98
73,2013,Milos Jojic,21,Partizan,Bor. Dortmund,1.35,1.98
74,2013,Jair Pereira,27,CD Cruz Azul,Chivas,0.9,1.98
75,2013,Walter,24,FC Porto,Fluminense,1.35,1.91
76,2013,Ruben Vezo,19,Vitoria Setubal,Valencia,0.63,1.85
77,2013,Aiden McGeady,27,Spartak Moscow,Everton,6.75,1.8
78,2013,Sergio Floccari,32,Lazio,Sassuolo,2.07,1.8
79,2013,Lucas Ontivero,19,CA Fenix,Galatasaray,0.18,1.8
80,2013,Scott Dann,26,Blackburn,CrystalPalace Palace,3.6,1.65
81,2013,Junior Urso,24,Coritiba FC,SD Luneng,0.36,1.64
82,2013,Wilfried Zaha,21,ManUtd,CardiffCity,8.1,1.62
83,2013,Nahki Wells,23,Bradford,Huddersfield,0.675,1.62
84,2013,Wenzhao Zhang,26,CC Yatai,SD Luneng,0.225,1.62
85,2013,Di Gao,24,SD Luneng,SH Shenhua,0.135,1.62
86,2013,Gianluca Caprari,20,AS Roma,Pescara,1.62,1.58
87,2013,Gabriele Moncini,17,Juventus U19,Cesena U19,68,1.58
88,2013,Dejan Damjanovic,32,FC Seoul,JS Suning,1.35,1.49
89,2013,Laurentiu Branescu,19,Juventus,Virtus Lanciano,0.36,1.49
90,2013,Leo Baptistao,21,Atletico Madrid,Real Betis,6.3,1.44
91,2013,Jeremy Taravel,26,KSC Lokeren,Dinamo Zagreb,1.8,1.44
92,2013,Habib Habibou,26,Zulte Waregem,KAA Gent,0.9,1.44
93,2013,Diego,28,VfL Wolfsburg,Atletico Madrid,10.8,1.35
94,2013,Jose Sosa,28,Metalist,Atletico Madrid,8.1,1.35
95,2013,Luuk de Jong,23,Bor. M'gladbach,Newcastle,6.75,1.35
96,2013,Rafik Djebbour,29,Olympiacos,Nottm Forest,5.4,1.35
97,2013,Eduardo Vargas,24,SSC Napoli,Valencia,5.4,1.35
98,2013,Ludovic Obraniak,29,G. Bordeaux,Werder Bremen,4.5,1.35
99,2013,Elderson,26,Braga,Monaco,4.05,1.35
100,2013,Giammario Piscitella,20,Pescara,AS Roma,1.35,1.35
101,2013,Zacharie Boucher,21,AC Le Havre,Toulouse,1.35,1.35
102,2013,Ruben Bentancourt,20,PSV U21,Atalanta,45,1.35
103,2013,Simone Emmanuello,19,Juventus U19,Atalanta U19,45,1.35
104,2013,Everton,25,Tigres UANL,Flamengo,0.54,1.35
105,2013,Jong-uh Park,24,Busan IPark,GZ R&F,0.72,1.31
106,2013,Jhon Fredy Pajoy,25,Atl. Nacional,CF Pachuca,0.9,1.26
107,2013,Alexandru Bourceanu,28,FCSB,Trabzonspor,3.6,1.17
108,2013,Patrick Ebert,26,Real Valladolid,Spartak Moscow,2.7,1.17
109,2013,Hyuri,22,Audax-RJ,BJ Renhe,0.135,1.17
110,2013,Lucas Lima,23,Internacional,Santos FC,0,1.13
111,2013,Volkan Sen,26,Trabzonspor,Bursaspor,1.53,1.13
112,2013,Leigh Griffiths,23,Wolves,Celtic,0.675,1.13
113,2013,Eric,28,Pandurii T.-Jiu,Ahli,2.16,1.08
114,2013,Pasquale Schiattarella,26,AS Livorno,Spezia Calcio,1.44,1.08
115,2013,Dae-seong Ha,28,FC Seoul,BJ Sinobo Guoan,1.35,1.08
116,2013,Alexis Zapata,18,Envigado,Granada CF,0,1.06
117,2013,Ondrej Vanek,23,FK Jablonec,Kayserispor,0.72,1.04
118,2013,Lin Dai,26,SH Shenhua,SD Luneng,0.135,1.04
119,2013,Andile Jali,23,Orlando Pirates,KV Oostende,0.72,1.03
120,2013,Michel Bastos,30,Al-Ain FC,AS Roma,2.7,0.99
121,2013,Pejman Montazeri,30,Esteghlal FC ,Umm Salal,1.08,0.99
122,2013,Stefano Gori,17,Brescia U19,Milan U19,68,0.99
123,2013,Kelechi Iheanacho,17,Taye Academy,ManCity U18,0,0.99
124,2013,Nemanja Radonjic,17,Ac. Hagi,Roma U19,0,0.936
125,2013,Ishak Belfodil,22,Inter,AS Livorno,9.9,0.9
126,2013,Bryan Ruiz,28,Fulham,PSV Eindhoven,7.2,0.9
127,2013,Benoit Tremoulinas,28,Dynamo Kyiv,Saint-Etienne,6.3,0.9
128,2013,Andres Guardado,27,Valencia,Bay. Leverkusen,5.4,0.9
129,2013,Heldon,25,Maritimo,Sporting CP,2.34,0.9
130,2013,Lucas Mugni,22,Colon,Flamengo,2.25,0.9
131,2013,Fatos Beqiraj,25,Dinamo Zagreb,CC Yatai,1.8,0.9
132,2013,Leon Benko,30,HNK Rijeka,DL Yifang,1.35,0.9
133,2013,Aleksandr Sheshukov,30,Rostov,Loko Moscow,0.9,0.9
134,2013,Jose Nunez,25,Libertad,Brondby IF,0.9,0.9
135,2013,Tobias Hysen,31,IFK Goteborg,SIPG,0.9,0.9
136,2013,Giorgi Chanturia,20,Vitesse,CFR Cluj,0.9,0.9
137,2013,Carlos Gruezo,18,Barcelona SC,VfB Stuttgart,0.9,0.9
138,2013,Petar Golubovic,19,OFK Beograd,AS Roma,0.63,0.9
139,2013,Ante Puljic,26,NK Lokomotiva,KAA Gent,0.54,0.9
140,2013,Ondrej Petrak,21,Slavia Prag,1.FC Nuremberg,0.54,0.9
141,2013,Stoppila Sunzu,24,TP Mazembe,FC Sochaux,0.54,0.9
142,2013,Atanas Kurdov,25,Slavia Sofia,FC Astana,0.45,0.9
143,2013,Ribair Rodriguez,26,Siena,Santos Laguna,0.36,0.9
144,2013,Paulao,27,GZ Evergrande,Internacional,0.36,0.9
145,2013,Shin-yeong Yun,26,Gyeongnam FC,JS Suning,0.293,0.9
146,2013,Marlone,21,Vasco da Gama,Cruzeiro,0.27,0.9
147,2013,Pablo Perez,28,Newell's,Malaga CF,1.35,0.855
148,2013,Pablo Zeballos,27,KS Samara,Botafogo,0.765,0.81
149,2013,Francesco Fedato,21,Bari,Sampdoria,0.63,0.81
150,2013,Victor Garcia,19,Dep. La Guaira,FC Porto B,0,0.81
151,2013,Julio Barroso,28,O'Higgins,Colo Colo,0.36,0.792
152,2013,Joseph Yobo,33,Fenerbahce,Norwich,1.8,0.765
153,2013,Yunqiu Li,23,SIPG,BJ Sinobo Guoan,0.18,0.752
154,2013,Matz Sels,21,Lierse SK,KAA Gent,0.81,0.729
155,2013,Kamil Grosicki,25,Sivasspor,Stade Rennais,3.42,0.72
156,2013,Esteban Paredes,33,Queretaro FC,Colo Colo,1.35,0.72
157,2013,Dusan Veskovac,27,BSC Young Boys,Toulouse,0.81,0.72
158,2013,Danijel Milicevic,28,RSC Charleroi,KAA Gent,0.585,0.72
159,2013,Kim Kallstrom,31,Spartak Moscow,Arsenal,2.7,0.675
160,2013,Hamza Younes,27,Petr. Ploiesti,Botev Plovdiv,2.12,0.675
161,2013,Oguzhan Kayar,18,Manisaspor,Galatasaray,45,0.675
162,2013,Vaclav Cerny,16,Pribram U17,Ajax U17,0,0.675
163,2013,Veysel Sari,25,Eskisehirspor,Galatasaray,5.18,0.63
164,2013,Marco Borriello,31,AS Roma,West Ham,4.5,0.63
165,2013,Maarten Martens,29,AZ Alkmaar,PAOK Salonika,2.7,0.63
166,2013,Brice Dja Djedje,23,Evian,Marseille,2.7,0.63
167,2013,Luis Leal,26,Estoril,Ahli,2.07,0.63
168,2013,Renato Kelic,22,Slovan Liberec,Padova,0.9,0.63
169,2013,Philipp Zulechner,23,Grodig,SC Freiburg,0.81,0.63
170,2013,Gregory Mertens,22,Cercle Brugge,KSC Lokeren,0.72,0.63
171,2013,Cleiton Silva,26,Police Tero FC,Queretaro FC,0,0.603
172,2013,Asger Sorensen,17,Midtjylland U19,FC Liefering,0,0.603
173,2013,Davide Calla,29,FC Aarau,FC Basel,0.72,0.585
174,2013,Leo Morais,22,EC Vitoria,Flamengo,0.36,0.557
175,2013,Jack Baldwin,20,Hartlepool Utd.,Peterborough,68,0.549
176,2013,Garry Rodrigues,23,Levski Sofia,Elche CF,1.8,0.54
